ID,trial,time,condition,RT,resp,ACC
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,0,1423774467227,"In this task, we're going to test your ability \nto quickly and accurately categorize words\n\n\n            This test requires 10 minutes of undivided attention\n\n\nPress          to continue or try again later", 6401," ""j"""," ""FORWARD"""
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,1,1423774470071,"You'll see a series of words, one at the time \n\nAbove each word you'll see a symbol, like this: \n\n\n                                   &#10084;\n                                house", 2861," ""j"""," ""FORWARD"""
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,2,1423774481572,If the symbol is   &#10084;  decide if the word is \nsomething living or non-living\n\nIf the symbol is   &#10021;  decide if the word is\nsmaller or bigger than a soccer ball\n\n, 11508," ""j"""," ""FORWARD"""
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,3,1423774483859,"\nPop quiz!\n\n\nIf you see a  &#10084; , what do you decide about the word shown?", 2280," ""j""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,0,1423589444993,"In this task, we're going to test your ability \nto quickly and accurately categorize words\n\n\n            This test requires 30 minutes of undivided attention\n\n\nPress          to continue or try again later", 6325," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,1,1423589452874,"You'll see a series of words, one at the time \n\nAbove each word you'll see a symbol, like this: \n\n\n                                   &#10084;\n                                house", 7881," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,2,1423589457017,If the symbol is   &#10084;  decide if the word is \nsomething living or non-living\n\nIf the symbol is   &#10021;  decide if the word is\nsmaller or bigger than a soccer ball\n\n, 4143," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,3,1423589458636,"\nPop quiz!\n\n\nIf you see a  &#10084; , what do you decide about the word shown?", 1616," ""f""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,4,1423589460105,"\nPop quiz!\n\n\nIf you see a  &#10084; , what do you decide about the word shown?", 3088," ""f""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,5,1423589461450,"\nPop quiz!\n\n\nIf you see a  &#10084; , what do you decide about the word shown?", 4432," ""j""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,6,1423589465338,\n\n\nAnd if you see a  &#10021; ?\n\nWhat do you decide about the word shown?, 2634," ""j""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,7,1423589467033,\n\n\nAnd if you see a  &#10021; ?\n\nWhat do you decide about the word shown?, 4330," ""f""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,8,1423589472200,"For now, let's focus on when you see a  &#10084;\n\nIf the word describes something...\n\n\nNon-living, press \n\nLiving, press \n\n", 3915," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,9,1423589477646,\n\n\nIf you see a  &#10084;\n\nwhat key do you press if the word is something living?, 5442," ""f""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,10,1423589479338,\n\n\nIf you see a  &#10084;\n\nwhat key do you press if the word is something living?, 7136," ""j""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,11,1423589485835,"It's time to practice!\n\nFor this part, \nNON-LIVING things are: \nsnowflake, pebble, marble, knob, bicycle, coat, table, and cloud \n\nLIVING things are: \nsparrow, mushroom, lizard, goldfish, lion, shark, alligator, and oak \n\n", 5244," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,12,1423589487305,"Remember, respond as quickly as you can\nwithout making mistakes\n\nIf you make a mistake, you'll see a red circle\nThe faster you can go while staying accurate, the better!\n\n\nReady to try it?", 1470," ""f"""," ""BACK"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,13,1423589496376,"It's time to practice!\n\nFor this part, \nNON-LIVING things are: \nsnowflake, pebble, marble, knob, bicycle, coat, table, and cloud \n\nLIVING things are: \nsparrow, mushroom, lizard, goldfish, lion, shark, alligator, and oak \n\n", 9072," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,14,1423589500344,"Remember, respond as quickly as you can\nwithout making mistakes\n\nIf you make a mistake, you'll see a red circle\nThe faster you can go while staying accurate, the better!\n\n\nReady to try it?", 3968," ""j"""," ""FORWARD"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,15,1423589503828,livingPrac, 430," ""f""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,16,1423589505125,livingPrac, 593," ""f""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,17,1423589507093,livingPrac, 914," ""j""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,18,1423589508517,livingPrac, 722," ""j""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,19,1423589509861,livingPrac, 642," ""f""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,20,1423589515917,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,21,1423589521975,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,22,1423589528034,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,23,1423589534093,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,24,1423589540156,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,25,1423589546220,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,26,1423589552286,livingPrac," ""NA"""," ""NA"""," ""NA"""
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,0,1423773531941,"In this task, we're going to test your ability \nto quickly and accurately categorize words\n\n\n            This test requires 10 minutes of undivided attention\n\n\nPress          to continue or try again later", 25482," ""j"""," ""FORWARD"""
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,1,1423773600894,"You'll see a series of words, one at the time \n\nAbove each word you'll see a symbol, like this: \n\n\n                                   &#10084;\n                                house", 68998," ""j"""," ""FORWARD"""
