ID,condition,RT,resp,ACC
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 787," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 719," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 666," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 610," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 561," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 526," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 520," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 533," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 646," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 642," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 662," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingPrac, 562," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 624," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 597," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 552," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 572," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 530," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 441," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 485," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 693," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 653," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 521," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 588," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 575," ""j""", 0
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 735," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 497," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 601," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 586," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 601," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 465," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 611," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 531," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 655," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 534," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 513," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 557," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 687," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 480," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 540," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 535," ""j""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 699," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 724," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 510," ""f""", 1
A130UW3VJCW7A0:3AMYWKA6YC5MJF6TS8HRSSG0T746O2,livingReal, 628," ""j""", 1
