word,type
oak,big
coat,big
goldfish,living
knob,nonliv
marble,nonliv
lizard,small
goldfish,small
cloud,nonliv
oak,big
table,nonliv
pebble,nonliv
coat,big
shark,living
table,nonliv
goldfish,small
coat,big
lizard,small
knob,nonliv
coat,nonliv
snowflake,small
marble,nonliv
mushroom,small
table,big
cloud,big
alligator,big
lizard,living
cloud,nonliv
sparrow,small
mushroom,living
alligator,living
table,big
goldfish,living
cloud,big
lion,big
snowflake,nonliv
shark,living
sparrow,living
marble,small
pebble,nonliv
knob,nonliv
alligator,big
shark,big
pebble,small
snowflake,small
bicycle,big
lion,living
oak,living
goldfish,living
shark,big
sparrow,small
oak,living
mushroom,living
lizard,living
bicycle,big
marble,small
alligator,living
snowflake,nonliv
lion,living
pebble,small
oak,big
coat,nonliv
bicycle,nonliv
knob,small
sparrow,living
lion,big
mushroom,small
knob,small
bicycle,nonliv
